x, y, theta, stamp, 
-3.7631994928233325e-05, 4.277431435184553e-05, -0.00042685390415171974, 1761316372443235933, 
-3.7631994928233325e-05, 4.277431435184553e-05, -0.00042685386977801533, 1761316372492259701, 
-3.756890509976074e-05, 4.270260615157895e-05, -0.00042613846675775154, 1761316372534323607, 
0.0010065301321446896, 9.956553185475059e-06, 0.0042409838846647315, 1761316372584705131, 
0.0071740299463272095, -7.91146230767481e-05, 0.019900904573285878, 1761316372652254330, 
0.012471643276512623, 0.00020701962057501078, 0.033607886988132184, 1761316372695208880, 
0.019878985360264778, 0.000858581333886832, 0.05452360485429599, 1761316372744368247, 
0.02892562933266163, 0.0017245605122298002, 0.08105173811206688, 1761316372795190712, 
0.03928399085998535, 0.0026699441950768232, 0.10947434567944155, 1761316372843229388, 
0.050985656678676605, 0.004118105862289667, 0.14019614832894875, 1761316372893224283, 
0.06050187721848488, 0.005461486056447029, 0.16527677044923214, 1761316372934477082, 
0.07179758697748184, 0.007606401573866606, 0.19144346562988268, 1761316372984818720, 
0.08632823824882507, 0.010664377361536026, 0.22357700448298545, 1761316373052386834, 
0.10526519268751144, 0.015570312738418579, 0.2565915708733877, 1761316373145143859, 
0.12546266615390778, 0.0215934868901968, 0.29025945864200176, 1761316373241252056, 
0.14890547096729279, 0.029346108436584473, 0.32262493497850125, 1761316373354940375, 
0.16886749863624573, 0.03667471185326576, 0.3452435069397593, 1761316373451262571, 
0.18757161498069763, 0.04400399327278137, 0.3671637638942314, 1761316373545175024, 
0.2067851573228836, 0.052035920321941376, 0.3912930753338085, 1761316373641428541, 
0.22962521016597748, 0.06232783943414688, 0.4211447764577638, 1761316373755194134, 
0.24887220561504364, 0.07171200960874557, 0.44933748484618213, 1761316373851252601, 
0.26678237318992615, 0.08086103945970535, 0.4792138398252082, 1761316373945180431, 
0.28537845611572266, 0.09119758754968643, 0.5088741937471292, 1761316374041335433, 
0.3028140962123871, 0.10158641636371613, 0.5406050467808254, 1761316374134512470, 
0.32447925209999084, 0.11573122441768646, 0.5811509842214775, 1761316374251937146, 
0.3408797085285187, 0.12731802463531494, 0.6111480809614876, 1761316374344244018, 
0.3584299683570862, 0.14049573242664337, 0.6408604357794329, 1761316374445302528, 
0.37705639004707336, 0.15555955469608307, 0.6726751136065342, 1761316374554902761, 
0.3917371332645416, 0.16817788779735565, 0.6929191361613886, 1761316374651258178, 
0.4049144387245178, 0.1799645870923996, 0.711274850485588, 1761316374745185058, 
0.41887369751930237, 0.19253869354724884, 0.7272961709334637, 1761316374845267052, 
0.43130236864089966, 0.203890860080719, 0.7384937079411714, 1761316374935038214, 
0.4470604658126831, 0.21832506358623505, 0.7489311065734964, 1761316375051296884, 
0.45810431241989136, 0.2290382832288742, 0.7561700446307099, 1761316375144356620, 
0.47025999426841736, 0.24077299237251282, 0.7628061272934406, 1761316375245278779, 
0.48096558451652527, 0.2512994706630707, 0.7697958213316667, 1761316375334288793, 
0.49471646547317505, 0.2647424638271332, 0.781820179718952, 1761316375451359549, 
0.5057112574577332, 0.27557089924812317, 0.7903812748048755, 1761316375545170152, 
0.5168890953063965, 0.28710344433784485, 0.8021649851268694, 1761316375645282091, 
0.5287309288978577, 0.30000239610671997, 0.8192008786804688, 1761316375755212969, 
0.5390883684158325, 0.31180766224861145, 0.83391014544308, 1761316375850736581, 
0.5486193895339966, 0.32262203097343445, 0.8484864244476755, 1761316375945205075, 
0.5584269762039185, 0.3340737819671631, 0.8618492101503658, 1761316376045358002, 
0.5671196579933167, 0.3447372019290924, 0.8729874125329083, 1761316376135211679, 
0.5777664184570312, 0.35813117027282715, 0.8877271962721426, 1761316376250633733, 
0.5861261487007141, 0.36875542998313904, 0.8996056445990053, 1761316376345212399, 
0.5945812463760376, 0.3799164891242981, 0.9079646481694406, 1761316376445344616, 
0.6020166277885437, 0.38961562514305115, 0.9110042271945448, 1761316376535149278, 
0.6113037467002869, 0.4016436040401459, 0.9146587797845269, 1761316376650900593, 
0.618527352809906, 0.41106921434402466, 0.9145295361637699, 1761316376744258825, 
0.6264445185661316, 0.42143741250038147, 0.917563206053859, 1761316376844299535, 
0.6332794427871704, 0.43045225739479065, 0.9182038313528195, 1761316376935173082, 
0.6419463753700256, 0.4417407810688019, 0.9206388581261598, 1761316377050612087, 
0.6487794518470764, 0.45095294713974, 0.9222270900025155, 1761316377145172616, 
0.655988872051239, 0.46034881472587585, 0.9263988683420804, 1761316377244273172, 
0.6622864603996277, 0.4690282940864563, 0.9317839855755079, 1761316377334656367, 
0.670508086681366, 0.48024144768714905, 0.940202895464033, 1761316377450416793, 
0.6767955422401428, 0.48898154497146606, 0.9443379909560269, 1761316377544265350, 
0.6831210255622864, 0.49788281321525574, 0.9509703871641985, 1761316377644297064, 
0.6901754140853882, 0.5080358386039734, 0.9591485020246553, 1761316377754263007, 
0.6963412165641785, 0.5169272422790527, 0.9645952912703719, 1761316377849746677, 
0.7020602226257324, 0.5250343084335327, 0.9675974666453356, 1761316377944305335, 
0.7075015902519226, 0.533437192440033, 0.9723345261450526, 1761316378044280443, 
0.7122908234596252, 0.5407811403274536, 0.9771934597507324, 1761316378134274741, 
0.7189451456069946, 0.5507276654243469, 0.9805771414844304, 1761316378250298930, 
0.7241533398628235, 0.5585106015205383, 0.9835337608786747, 1761316378345236301, 
0.7296173572540283, 0.566445529460907, 0.984857251294348, 1761316378444313016, 
0.734128475189209, 0.5732945203781128, 0.9848572512947993, 1761316378534292038, 
0.7400604486465454, 0.5819922685623169, 0.984607360641776, 1761316378655588282, 
0.7446125149726868, 0.589034378528595, 0.984607360641776, 1761316378745231243, 
0.7494724988937378, 0.5965194702148438, 0.984607360641776, 1761316378844263944, 
0.7539653778076172, 0.6028416156768799, 0.9856701567077225, 1761316378934732444, 
0.7597194910049438, 0.6117002367973328, 0.9855864940467626, 1761316379056339329, 
0.7637987732887268, 0.6180492043495178, 0.9858646162787696, 1761316379144246654, 
0.7683088183403015, 0.6249873638153076, 0.9874455111273287, 1761316379244320228, 
0.7738252878189087, 0.6330466866493225, 0.9920462554328816, 1761316379354414717, 
0.7782549262046814, 0.6399061679840088, 0.9932468168450664, 1761316379455451268, 
0.7816734313964844, 0.6456292867660522, 0.9956354020602263, 1761316379545215555, 
0.7862367630004883, 0.6521700620651245, 0.9998399061783012, 1761316379644255720, 
0.7900255918502808, 0.6582528948783875, 1.0014069257228861, 1761316379735463776, 
0.7936513423919678, 0.6644458174705505, 1.0072719918425548, 1761316379834624602, 
0.7976809144020081, 0.6707829833030701, 1.008344498484045, 1761316379944388625, 
0.8014163970947266, 0.676607072353363, 1.009024113892647, 1761316380044258572, 
0.8052120208740234, 0.6833947896957397, 1.0136338736579977, 1761316380154334967, 
0.8089228272438049, 0.6891899108886719, 1.0152327580829636, 1761316380254525188, 
0.8116760849952698, 0.6940212845802307, 1.0163613310826454, 1761316380345235532, 
0.8149942755699158, 0.6994679570198059, 1.0163613310826454, 1761316380444328448, 
0.818193793296814, 0.7044519782066345, 1.0163613310826454, 1761316380534363894, 
0.8224140405654907, 0.7112841606140137, 1.0141174875853134, 1761316380654341392, 
0.8257200717926025, 0.7163869738578796, 1.0141174875853134, 1761316380744263276, 
0.8291015625, 0.721728503704071, 1.0107762608675666, 1761316380844267444, 
0.8322664499282837, 0.7267962694168091, 1.010403865744542, 1761316380950464751, 
0.8352335095405579, 0.7316637635231018, 1.0091298162564204, 1761316381050343970, 
0.8385365009307861, 0.7366081476211548, 1.0080994624184445, 1761316381148255986, 
0.8411670327186584, 0.7411080002784729, 1.0078934069674887, 1761316381240283353, 
0.8439841866493225, 0.7452151775360107, 1.0073443189279, 1761316381338875423, 
0.8471184372901917, 0.7505213022232056, 1.0079488077992387, 1761316381451397611, 
0.8503178954124451, 0.7552773356437683, 1.0106147181377445, 1761316381548265122, 
0.8528409004211426, 0.7594085931777954, 1.0109770622543737, 1761316381640344496, 
0.8557316064834595, 0.7638011574745178, 1.0117933068112213, 1761316381751035623, 
0.8579721450805664, 0.7675923109054565, 1.0118647342837817, 1761316381830514884, 
0.8612085580825806, 0.7724871039390564, 1.012224574674907, 1761316381948442093, 
0.8635657429695129, 0.7763750553131104, 1.0140875145705581, 1761316382040282501, 
0.8662950396537781, 0.781006395816803, 1.0144146186572478, 1761316382138618686, 
0.8695090413093567, 0.7860674858093262, 1.0174798044695854, 1761316382255420271, 
0.8712800145149231, 0.7888454794883728, 1.0174798044695854, 1761316382344261882, 
0.8734561800956726, 0.7924672365188599, 1.0185551033376181, 1761316382444284869, 
0.8756308555603027, 0.7960672974586487, 1.0193978316230863, 1761316382535490924, 
