x, y, th, stamp, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693185964571, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693234155053, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693282944700, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693330581507, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693394494589, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693442396905, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693490184573, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693538095174, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693585954259, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693634303108, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693681995091, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693746363018, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693795143604, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693842316599, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693890220543, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693937965327, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349693986009631, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349694035089137, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349694081992778, 
-2.5129241943359375, -5.786503314971924, 1.7923930032534199, 1759349694146607467, 
-2.5131983757019043, -5.785248279571533, 1.7930147861101142, 1759349694178273966, 
-2.514495372772217, -5.7794718742370605, 1.7932470286854745, 1759349694241819025, 
-2.515882968902588, -5.772834777832031, 1.7930456453187915, 1759349694290366137, 
-2.51774263381958, -5.764408111572266, 1.7930456453187915, 1759349694337940654, 
-2.5202789306640625, -5.753570079803467, 1.7930456453187915, 1759349694385950807, 
-2.523296356201172, -5.740434169769287, 1.793416987794939, 1759349694434839526, 
-2.5263543128967285, -5.726902961730957, 1.7935562652942703, 1759349694482329712, 
-2.5304951667785645, -5.709348678588867, 1.7942304307542518, 1759349694546301727, 
-2.5324625968933105, -5.700190544128418, 1.7946612586664568, 1759349694577956626, 
-2.5367536544799805, -5.680951118469238, 1.7946612586664568, 1759349694641757507, 
-2.539987564086914, -5.666835784912109, 1.7946612586664568, 1759349694690538127, 
-2.5434250831604004, -5.651436805725098, 1.7942738171919927, 1759349694738608976, 
-2.5472726821899414, -5.634810924530029, 1.7938637776576047, 1759349694786348399, 
-2.5508551597595215, -5.618087291717529, 1.7938632201427, 1759349694834470661, 
-2.5558578968048096, -5.596616268157959, 1.793632632524876, 1759349694897939474, 
-2.5594749450683594, -5.580557823181152, 1.793632632524876, 1759349694945680526, 
-2.5619616508483887, -5.569756031036377, 1.7929708185714246, 1759349694978293225, 
-2.5668153762817383, -5.547970771789551, 1.7922471875172856, 1759349695042468903, 
-2.570417881011963, -5.53175163269043, 1.7911661313887153, 1759349695090583953, 
-2.574120044708252, -5.515358924865723, 1.7911661313887153, 1759349695137825485, 
-2.577916145324707, -5.4992451667785645, 1.790536425830562, 1759349695185672029, 
-2.5815510749816895, -5.4828643798828125, 1.790573002966836, 1759349695234330600, 
-2.5850608348846436, -5.466650009155273, 1.790573002966836, 1759349695282075689, 
-2.5886378288269043, -5.450673580169678, 1.790573002966836, 1759349695330398714, 
-2.593235969543457, -5.428680419921875, 1.7905158367489153, 1759349695394610945, 
-2.5968899726867676, -5.412954807281494, 1.7901592232757573, 1759349695442586537, 
-2.6004388332366943, -5.396759510040283, 1.7901592232757573, 1759349695490277632, 
-2.6042051315307617, -5.380229949951172, 1.7901592232757573, 1759349695538428078, 
-2.607927083969116, -5.363891124725342, 1.7900581608875175, 1759349695587092714, 
-2.611431360244751, -5.347919940948486, 1.790379843128794, 1759349695634123367, 
-2.615011692047119, -5.331585884094238, 1.7902034316164088, 1759349695681988738, 
-2.620020866394043, -5.309654712677002, 1.7899324428999053, 1759349695746894885, 
-2.6233277320861816, -5.293707847595215, 1.789932440167448, 1759349695794039450, 
-2.6270554065704346, -5.277775764465332, 1.789932440167448, 1759349695841969911, 
-2.630401849746704, -5.262169361114502, 1.7916708641926269, 1759349695889973065, 
-2.634260416030884, -5.245175838470459, 1.7916708641926269, 1759349695938009367, 
-2.637756824493408, -5.229074478149414, 1.7923009208601128, 1759349695986036817, 
-2.641296148300171, -5.21281623840332, 1.7923009208601128, 1759349696034132200, 
-2.6450233459472656, -5.196455955505371, 1.7916581229903266, 1759349696082004900, 
-2.6484975814819336, -5.180789947509766, 1.7916505395126894, 1759349696130418867, 
-2.652306079864502, -5.164057731628418, 1.7916505395126894, 1759349696178960065, 
-2.6568684577941895, -5.143104553222656, 1.7910555318104964, 1759349696242107132, 
-2.6605710983276367, -5.126741886138916, 1.7910630974665096, 1759349696290171364, 
-2.664141893386841, -5.109854698181152, 1.7910630974665096, 1759349696338990881, 
-2.6677744388580322, -5.09406852722168, 1.789511856281408, 1759349696386000277, 
-2.671288251876831, -5.077934265136719, 1.7891900175678737, 1759349696434138499, 
-2.674971103668213, -5.06184196472168, 1.7891683225944306, 1759349696482587701, 
-2.6796441078186035, -5.040229320526123, 1.790034657426171, 1759349696545870056, 
-2.6822919845581055, -5.02919340133667, 1.7900344920771705, 1759349696578996381, 
-2.6869688034057617, -5.007954120635986, 1.7906851895848306, 1759349696641976181, 
-2.6905970573425293, -4.9917168617248535, 1.7906851895848306, 1759349696690265278, 
-2.6943187713623047, -4.975025653839111, 1.7906851895848306, 1759349696738995371, 
-2.6977896690368652, -4.959378719329834, 1.7910273390501412, 1759349696786179541, 
-2.701450824737549, -4.943264007568359, 1.7909734130339843, 1759349696834148363, 
-2.7049190998077393, -4.927262306213379, 1.7909734130339843, 1759349696881975261, 
-2.7086341381073, -4.910966396331787, 1.790595371982905, 1759349696930258009, 
-2.713456869125366, -4.889120578765869, 1.7905953719829037, 1759349696994358635, 
-2.717012405395508, -4.873263835906982, 1.7904422310519668, 1759349697042417711, 
-2.7204272747039795, -4.856613636016846, 1.7904422310519668, 1759349697089989572, 
-2.724250078201294, -4.839748859405518, 1.7903788581613038, 1759349697140213523, 
-2.7275869846343994, -4.824329853057861, 1.789734300627557, 1759349697186000493, 
-2.7312610149383545, -4.808370113372803, 1.789795653660142, 1759349697233985923, 
-2.7348392009735107, -4.792464256286621, 1.7899094930777968, 1759349697281999020, 
-2.7384848594665527, -4.775958061218262, 1.7899094930777968, 1759349697330525805, 
