odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
2.0748863960307062e-08, -2.4254831032521906e-08, 2.3599577810719634e-07, 0.0, 2.2673577859677607e-07, 0.042459107023647795, -0.1463343609572616, 0.038044755282771965, 1763138902691915331, 
5.915268275202834e-13, -3.3217872896784684e-13, -2.4872083021237763e-09, 0.0, 1.180104277409555e-06, 0.043757768788814176, -0.144030032553115, 0.04029263017166758, 1763138902932509345, 
5.915268275202834e-13, -3.3217872896784684e-13, -2.527199711532584e-09, 0.0, -2.6163651800636956e-10, 0.04294730055616099, -0.14628154291635997, 0.03980481341329948, 1763138903137530375, 
5.915268275202834e-13, -3.3217872896784684e-13, -2.574494394427359e-09, 0.0, -1.7851176092875676e-10, 0.04473538313681983, -0.15043823733022896, 0.037943654457599944, 1763138903348119010, 
5.915268275202834e-13, -3.3217872896784684e-13, -2.6181510247917676e-09, 0.0, -1.8004572832630572e-10, 0.043852123379607096, -0.15461585837492267, 0.04245408807074791, 1763138903538551685, 
-4.14959728800568e-08, 4.850868862149582e-08, -4.795185393356606e-07, 0.0, -4.2113046383462915e-10, 0.04341021856699427, -0.14526863572196558, 0.03719783773512929, 1763138903728372797, 
-4.14959728800568e-08, 4.850868862149582e-08, -4.795207607836769e-07, 0.0, 5.619808689516503e-07, 0.04444323005922464, -0.151839787924857, 0.04413834579742929, 1763138903844063611, 
-4.14959728800568e-08, 4.850868862149582e-08, -4.795209058445881e-07, 0.0, -1.583131989946196e-07, 0.040550140617046315, -0.14932892177269239, 0.04414069991747446, 1763138903938487464, 
-4.14959728800568e-08, 4.850868862149582e-08, -4.794995087634766e-07, 0.0, -8.651317102703615e-07, 0.04145464060920587, -0.15537393930971669, 0.04346231199412831, 1763138904038490687, 
-2.0747664919440467e-08, 2.425417200413449e-08, -2.410785927383521e-07, 0.0, -2.4869664660975843e-10, 0.042652298933062514, -0.14564255498460527, 0.0364130740149893, 1763138904128279186, 
-2.0747664919440467e-08, 2.425417200413449e-08, -2.410828453160439e-07, 0.0, -1.704670580693346e-06, 0.04310589639180096, -0.1540499348342938, 0.03750116987763988, 1763138904244419957, 
0.0057262638583779335, -0.00018929153156932443, -0.0505416963251809, 0.06020828913488751, -0.540926992893219, 0.04686595414614763, -0.15166605527063046, -0.0012706065376735594, 1763138904439015275, 
0.011634234338998795, -0.0004687765904236585, -0.10429872696947462, 0.059234842207095524, -0.5622315406799316, 0.05367421686604303, -0.15577629038023252, -0.0737680969837387, 1763138904528520421, 
0.018284406512975693, -0.0011953709181398153, -0.16892404112703696, 0.05832960443812085, -0.551532506942749, 0.06704297778955409, -0.16315309341821785, -0.14470657243529117, 1763138904645064132, 
0.024042906239628792, -0.0022748627234250307, -0.2237265845984702, 0.0685025626275037, -0.6227002143859863, 0.07786789277145985, -0.17333556178606566, -0.2081536671730287, 1763138904738618067, 
0.04692681506276131, -0.00883597694337368, -0.325297982816248, 0.10781513246148394, -0.5125451683998108, 0.08859067084421866, -0.17494572350956314, -0.2725601975428331, 1763138904928706277, 
0.07068007439374924, -0.01755717396736145, -0.42588644470330567, 0.11631962453479253, -0.49072903394699097, 0.09903888305164549, -0.18266403860665525, -0.33195272398066356, 1763138905138520485, 
0.08128766715526581, -0.022477539256215096, -0.4730488836558947, 0.11753218247209515, -0.4911966621875763, 0.12134113828309795, -0.18064401786945478, -0.40853352461354475, 1763138905235843556, 
0.09345680475234985, -0.028832918033003807, -0.5290523642771455, 0.12238867465751024, -0.4920858144760132, 0.12721535442080587, -0.18679152743976443, -0.46183429870934806, 1763138905348585437, 
0.1033414825797081, -0.034820374101400375, -0.5788775450005025, 0.11680368134077902, -0.5186510682106018, 0.14569242458600043, -0.19238119393216166, -0.534531865080321, 1763138905445293711, 
0.12255921214818954, -0.048309847712516785, -0.675103265542114, 0.1212370842346013, -0.5111008286476135, 0.1611150020714952, -0.19843098290370842, -0.599505057702997, 1763138905636522700, 
0.13291534781455994, -0.05696222186088562, -0.7319909115462585, 0.11721455941235093, -0.5421000123023987, 0.17942055049073305, -0.2005892086794719, -0.6786654144101603, 1763138905748411442, 
0.14913377165794373, -0.07266046106815338, -0.829884297718948, 0.11356266139390626, -0.5174182653427124, 0.18865085086959116, -0.22050366498600033, -0.7311250523378826, 1763138905939525312, 
0.15741761028766632, -0.08189529925584793, -0.8769677206870345, 0.13217924162875075, -0.4413275122642517, 0.2020759360796606, -0.2351700807075085, -0.7926768170717051, 1763138906037665569, 
0.16551919281482697, -0.09184009581804276, -0.9182422695461404, 0.10850300926129941, -0.32821550965309143, 0.21182913747234608, -0.2475535085878804, -0.8446013909145234, 1763138906150427630, 
0.17863576114177704, -0.10988394170999527, -0.9856466886184619, 0.11384597340258211, -0.29778286814689636, 0.22784952545403792, -0.2563721542164234, -0.8938701235956351, 1763138906338529126, 
0.18436209857463837, -0.11896934360265732, -1.0025698752294916, 0.11003220348903515, -0.15599380433559418, 0.23457896048977053, -0.26110296166993213, -0.9354225899402699, 1763138906437525813, 
