e, e_dot, e_int, stamp, 
1.5365551640285966, -0.006132781320169478, 0.30755634405852605, 1763139112189130691, 
1.5365551640285966, -0.006132781320169478, 0.3074336884321227, 1763139112189130691, 
1.5429214892756995, 0.021221084157009667, 0.3077354544888595, 1763139112399987930, 
1.5515920531753493, 0.05012296382250906, 0.3087379137653097, 1763139112589894113, 
1.5515920531753493, 0.028901879665499397, 0.3097403730417599, 1763139112589894113, 
1.545144590045657, -0.021491543765640813, 0.30988857975975703, 1763139112800030881, 
1.5345495131148121, -0.05680846686845727, 0.3087524104223879, 1763139112899505913, 
1.5468211840642696, 0.005588646728708439, 0.3084343524816493, 1763139112989485661, 
1.5412394048042752, 0.022299638964877005, 0.30817400679889045, 1763139113180653112, 
1.547790793736432, 0.0032320322405410273, 0.3090567588403318, 1763139113300274150, 
1.5450096548021572, 0.012567499992940009, 0.3089359902228576, 1763139113389926645, 
1.5309153263110986, -0.05625155808444434, 0.3082477183233125, 1763139113595998853, 
1.522003414005273, -0.07668746932294764, 0.3065285596745686, 1763139113695208818, 
1.5149205365574672, -0.05331596584543815, 0.3045226184582559, 1763139113793339726, 
1.4907591031178076, -0.10414770295821792, 0.3018455369120365, 1763139113999684130, 
1.4832218987926677, -0.10566212588266473, 0.2992601025645295, 1763139114099448332, 
1.4656182033460394, -0.08380299923922714, 0.29597328035043435, 1763139114189611646, 
1.4541815679277494, -0.09680110288306103, 0.2935347780044304, 1763139114379817145, 
1.430307332061088, -0.11770290428317158, 0.29000714022232515, 1763139114500441879, 
1.413243614638021, -0.13645984429909497, 0.2865155009751239, 1763139114589647847, 
1.4025819711301257, -0.0924178697698741, 0.2830755278552823, 1763139114779166937, 
1.3786913293365017, -0.11517428433839738, 0.27963446100697653, 1763139114894643561, 
1.3639328327865037, -0.12883046114540683, 0.27634707555020877, 1763139114989904194, 
1.3424373573285016, -0.1208465733600006, 0.27233743463010046, 1763139115099688905, 
1.3340033153757245, -0.09976505803593068, 0.269358233699382, 1763139115295449278, 
1.3110004225493803, -0.1047897825970708, 0.26582940635024044, 1763139115388654936, 
1.2972315081201704, -0.1225726908518469, 0.262815683069685, 1763139115499590658, 
1.2972315081201704, -0.045896381430699705, 0.26036422925264807, 1763139115499590658, 
1.2786402177365623, -0.06197096794536024, 0.2582068822651269, 1763139115696097276, 
1.2660709744498273, -0.10386844556781034, 0.25612951335377065, 1763139115789464653, 
1.2493978303073534, -0.09747462476402975, 0.2529406014995829, 1763139115899886857, 
1.2342747503920908, -0.1059874135257884, 0.2499829036766181, 1763139115999099557, 
1.213255402099062, -0.12047476069430463, 0.2464618655199004, 1763139116096473335, 
1.213255402099062, -0.07006449431009587, 0.2440523703060143, 1763139116096473335, 
1.204190086853614, -0.030217717484826895, 0.24204672607011588, 1763139116299296378, 
1.1833571113098578, -0.09966096929734751, 0.24005350668416892, 1763139116399487298, 
1.1652846251797704, -0.12968487224614522, 0.23685545488954948, 1763139116497439463, 
1.1652846251797704, -0.06024162043362461, 0.23426175744462657, 1763139116497439463, 
