x, y, th, stamp, 
-3.4264354705810547, -6.090063095092773, -1.1704563842318045, 1759349656591702550, 
-3.4264354705810547, -6.090063095092773, -1.1704563842318045, 1759349656641122227, 
-3.4264354705810547, -6.090063095092773, -1.1704563842318045, 1759349656688537683, 
-3.4260807037353516, -6.0909576416015625, -1.1671812422612913, 1759349656736572737, 
-3.4246363639831543, -6.0940117835998535, -1.1604534185672313, 1759349656784573630, 
-3.422464609146118, -6.0991082191467285, -1.1509277534702318, 1759349656832561750, 
-3.4182167053222656, -6.107297420501709, -1.1335869277286468, 1759349656896585180, 
-3.4151175022125244, -6.114269256591797, -1.1188094221098424, 1759349656943967176, 
-3.411638021469116, -6.120734214782715, -1.1047393432908734, 1759349656993318496, 
-3.4085118770599365, -6.126890659332275, -1.090671179801791, 1759349657040743862, 
-3.4051640033721924, -6.132806777954102, -1.0769525728845561, 1759349657088588227, 
-3.401885747909546, -6.138976573944092, -1.062636989273358, 1759349657136583099, 
-3.3982396125793457, -6.145143032073975, -1.0486571608603568, 1759349657184596676, 
-3.3948850631713867, -6.151122093200684, -1.0334642093184114, 1759349657232655336, 
-3.391308069229126, -6.1566081047058105, -1.0196656420437997, 1759349657279687519, 
-3.386204957962036, -6.16465425491333, -1.0003114897557934, 1759349657343959795, 
-3.3822872638702393, -6.170423984527588, -0.9867084196497907, 1759349657393344350, 
-3.378608226776123, -6.175919532775879, -0.9727069549880132, 1759349657439929603, 
-3.3746752738952637, -6.18135404586792, -0.9577251574479513, 1759349657487751213, 
-3.370884895324707, -6.186919689178467, -0.9432676608140117, 1759349657535716971, 
-3.3664755821228027, -6.192513942718506, -0.9291090987045513, 1759349657584612783, 
-3.362255811691284, -6.198208808898926, -0.9139512252049944, 1759349657632884847, 
-3.356457233428955, -6.205207824707031, -0.8952514429717943, 1759349657695871559, 
-3.3520963191986084, -6.210597038269043, -0.8807410357561337, 1759349657744086811, 
-3.347351312637329, -6.215943336486816, -0.8663903293637659, 1759349657793491707, 
-3.3427958488464355, -6.221185207366943, -0.8516273419175174, 1759349657840578033, 
-3.3381805419921875, -6.226150989532471, -0.8367446026771314, 1759349657888599510, 
-3.3335936069488525, -6.231287479400635, -0.8225582330114525, 1759349657936629369, 
-3.328639507293701, -6.236260414123535, -0.8083362396192111, 1759349657983717479, 
-3.323798418045044, -6.241353988647461, -0.7941067319156385, 1759349658033057338, 
-3.318899154663086, -6.246070861816406, -0.7800003359648277, 1759349658079949672, 
-3.312324047088623, -6.252397060394287, -0.7614262956650507, 1759349658144458919, 
-3.307255983352661, -6.257182598114014, -0.746718542364223, 1759349658193135320, 
-3.302180528640747, -6.2616353034973145, -0.7328316206928442, 1759349658240075230, 
-3.2970399856567383, -6.26616907119751, -0.7180963269912947, 1759349658288611107, 
-3.291677951812744, -6.2706122398376465, -0.7036917166370344, 1759349658336638921, 
-3.286146640777588, -6.275113582611084, -0.6888387271294452, 1759349658383641398, 
-3.2808656692504883, -6.279451370239258, -0.6739841319034908, 1759349658432030161, 
-3.2756333351135254, -6.283390045166016, -0.660405806713798, 1759349658479865750, 
-3.270164966583252, -6.287599563598633, -0.6463822971355763, 1759349658528516067, 
-3.2626559734344482, -6.2927680015563965, -0.6280873992819253, 1759349658592392269, 
-3.2570135593414307, -6.296576976776123, -0.613341302851353, 1759349658640443313, 
-3.2512993812561035, -6.30037784576416, -0.5987425536593193, 1759349658687686374, 
-3.2455642223358154, -6.303901672363281, -0.5846899760282266, 1759349658735654952, 
-3.2399590015411377, -6.30746603012085, -0.5701221042635191, 1759349658784585272, 
