e, e_dot, e_int, stamp, 
0.7853974044924943, -3.222691100565906e-06, 0.11789415292211378, 1761312338304170522, 
0.7758858397939072, -0.09505418935369916, 0.11819677435865383, 1761312338354204546, 
0.76790761897169, -0.19478496534337786, 0.10485029922380992, 1761312338394202044, 
0.7555849424426042, -0.22535490494824031, 0.10237358624988191, 1761312338443249121, 
0.7392116195796116, -0.2881929543315123, 0.11246115513093766, 1761312338493606249, 
0.7193032827953448, -0.3618284381590806, 0.11105228597908683, 1761312338543562832, 
0.6895391966549945, -0.4473148461238259, 0.11809000443256522, 1761312338603556929, 
0.6623700011493706, -0.5204092384804687, 0.11378531460337081, 1761312338653435977, 
0.6369547366572808, -0.5230194389056466, 0.10001398774465721, 1761312338704130916, 
0.6107377644848936, -0.5073060107595094, 0.09719620069648345, 1761312338755208773, 
0.5906680625387479, -0.520442978873496, 0.08191427941302139, 1761312338793247579, 
0.5393434920236299, -0.5180490736799035, 0.12096004152815554, 1761312338894183455, 
0.4834609883159362, -0.5045467119561172, 0.17148427551124826, 1761312339005813050, 
0.4361402515965713, -0.4908423095273936, 0.15318448081444846, 1761312339104176990, 
0.39246907069647263, -0.48295940707347595, 0.12362142317489717, 1761312339194250243, 
0.3371026630112316, -0.4718925721186299, 0.1228146598324704, 1761312339314888832, 
0.30070268582570225, -0.46099091848369533, 0.10264103650202024, 1761312339393500141, 
0.25487744905447385, -0.43860859437429467, 0.0844711104478909, 1761312339504141074, 
0.22236126419708746, -0.3876024737472502, 0.07806921492982098, 1761312339594207328, 
0.18915428135265544, -0.34691316558243057, 0.06325619015785071, 1761312339693987578, 
0.15476207002978137, -0.322249318632916, 0.05949275339897496, 1761312339804326011, 
0.12844859859846292, -0.28754190409131886, 0.0496556889435346, 1761312339904230480, 
0.10642965143996608, -0.2553582283563672, 0.03680757077252609, 1761312339993257027, 
0.08538445949024498, -0.22858638932721165, 0.03031557039573367, 1761312340093547372, 
0.06230149953734421, -0.2088927884312493, 0.026846878945856485, 1761312340204553601, 
0.04833022651519481, -0.17408630880261217, 0.02064418699174104, 1761312340304184947, 
0.036480917017400305, -0.13520222945765797, 0.014024065035060372, 1761312340395211110, 
0.02522474640919614, -0.12218354426065274, 0.010431303719306478, 1761312340493783154, 
0.01350558141261049, -0.10984676736292523, 0.007884127796574884, 1761312340604864010, 
0.01259974391965002, -0.057310635991185965, 0.005400038911537479, 1761312340704187649, 
0.005746589264120527, -0.04256366625751902, 0.00301777935726334, 1761312340794352108, 
0.0011494838661444406, -0.06104260563422491, 0.0018514445871769467, 1761312340894120144, 
-0.006140233481844781, -0.05643312865235932, 7.895297911075725e-05, 1761312341003266735, 
-0.008415106583607335, -0.0445572646328443, -0.0014145797727541662, 1761312341105159223, 
-0.010532627121824789, -0.023050102306700675, -0.0023954149375484944, 1761312341194227997, 
-0.015494841381231583, -0.03694192183661894, -0.003239246673885489, 1761312341293254722, 
-0.016427873787462244, -0.02971953668796634, -0.004225124141660762, 1761312341393266512, 
-0.017621271042079, -0.010044304675301775, -0.005225123137844444, 1761312341504183375, 
-0.018392508951087683, -0.00966301863107833, -0.005268938500658939, 1761312341594211300, 
-0.020746495362930273, -0.01416474600397271, -0.005935412713682038, 1761312341713323048, 
-0.01938449429967415, -0.0023937831516480197, -0.0061467740626251245, 1761312341804273043, 
-0.019319414245799194, 0.007813432047567709, -0.005672423637746322, 1761312341904151815, 
-0.017610391655631275, 0.009709580410409396, -0.005376363126066089, 1761312341995214353, 
-0.01788667842326208, 0.007985568058285993, -0.005203789237300548, 1761312342094014018, 
-0.017713791798436795, -0.0006157220450043415, -0.005567746361815202, 1761312342204485399, 
-0.017203902937863003, 0.003348414228684011, -0.0055399527773420006, 1761312342303843335, 
-0.017017701800555063, 0.0035948465351111616, -0.004929735468909221, 1761312342394326463, 
-0.016051102150252405, 0.005068418507947758, -0.0052818232221991755, 1761312342513970203, 
-0.017006895023330637, -0.0012868787081602518, -0.005242086138461109, 1761312342603692932, 
-0.01635042209971138, -0.002060548780575041, -0.004699464407415815, 1761312342704199499, 
-0.0160667723399448, 0.004823865663353127, -0.004733198011204096, 1761312342795226982, 
-0.01582109309005253, 0.0027808151924653317, -0.004618515964702031, 1761312342895687058, 
-0.013901546331393955, 0.009943803599429889, -0.004819628479858764, 1761312343005739775, 
-0.01250554633742762, 0.015809798114048167, -0.004402676569074306, 1761312343104205444, 
-0.012625627546626328, 0.006429303558337573, -0.0036985563722091463, 1761312343195250337, 
-0.011628733059659835, 0.004263375555092857, -0.0035344084791412936, 1761312343296502366, 
-0.009804117763784204, 0.013310050802988237, -0.00357657711398868, 1761312343405275992, 
-0.009332747504963601, 0.010816728493047517, -0.003165514899301154, 1761312343502285128, 
-0.008049583275036132, 0.009314275203871958, -0.0025854023165393773, 1761312343595473863, 
-0.007426180985166675, 0.00999566951700692, -0.0023987957214064853, 1761312343695670023, 
-0.007686829892618596, 0.001924774621664427, -0.0024328762902015096, 1761312343805543277, 
-0.006379862206114417, 0.005574120194061216, -0.0022195563225792013, 1761312343902208843, 
-0.005889885293150154, 0.009418123698800464, -0.0018843033501334558, 1761312343994383609, 
-0.005646174110668145, 0.0036910632525724344, -0.0018822056072994365, 1761312344112324253, 
-0.005066275428475486, 0.004152166929999725, -0.0017507472046245118, 1761312344205287343, 
-0.004168679141383191, 0.0077036232478958164, -0.001420065573788149, 1761312344303178805, 
-0.00464697335810893, 0.001959751799624585, -0.001311832728659056, 1761312344394285980, 
-0.004995822167243924, -0.004361374949046682, -0.0013228251172705437, 1761312344494733313, 
-0.003849109159494213, 0.003496610679956813, -0.0014167246021418493, 1761312344604297040, 
-0.00352792904483501, 0.006856554376250902, -0.0012897572717254745, 1761312344703214979, 
-0.0030887593781943057, 0.004030187153410615, -0.0009950679659794725, 1761312344794453205, 
-0.0030114673305646766, 0.0027937987098284947, -0.0009198661152388078, 1761312344894293341, 
