odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
0.0, 0.0, 2.3801786194531746e-08, 0.0, 2.2840648816746523e-10, 0.038949074639171, 0.07179734495998778, 0.03755666063376714, 1763138721428699545, 
0.0, 0.0, 2.3847262334665403e-08, 0.0, 1.864281506946952e-10, 0.04122301442616298, 0.07557348561564498, 0.025775750980348004, 1763138721637336339, 
0.0, 0.0, 2.3890919429193715e-08, 0.0, 1.9063568779120743e-10, 0.03763495235273605, 0.07139549774131969, 0.03404419402128124, 1763138721828380644, 
0.0, 0.0, 2.3940033660538062e-08, 0.0, 2.0021191649011172e-10, 0.037953265005802185, 0.08688461177648235, 0.01741963149800253, 1763138722036463680, 
0.0, 0.0, 2.398369075506637e-08, 0.0, 2.296907941623516e-10, 0.03816851848653379, 0.07397672535188324, 0.02890157503785025, 1763138722228341965, 
0.0, 0.0, 2.399824311990914e-08, 0.0, 1.9734561207407353e-10, 0.038349457628472375, 0.0668814490682367, 0.033510833898522455, 1763138722292862914, 
0.0, 0.0, 2.4014614530357255e-08, 0.0, 1.9041766774474667e-10, 0.039280391945381944, 0.07992204012479955, 0.024201432301533803, 1763138722372804449, 
0.0, 0.0, 2.4041900214437447e-08, 0.0, 1.9957643870860409e-10, 0.03693308398414247, 0.07799688740285882, 0.025299183214768473, 1763138722484771825, 
0.0, 0.0, 2.4063728761701603e-08, 0.0, 2.2510085462279505e-10, 0.039767914908312725, 0.07793907477584332, 0.029349712960100055, 1763138722580871879, 
0.0, 0.0, 2.410738585622991e-08, 0.0, 2.2580699809982008e-10, 0.038697202319403184, 0.08009914215489998, 0.02946213027186919, 1763138722772571355, 
0.0, 0.0, 2.4131033449099413e-08, 0.0, 2.2617931139112812e-10, 0.03948257870751558, 0.07368462757721307, 0.031183643487739093, 1763138722884706181, 
