e, e_dot, e_int, stamp, 
-0.7574256013145843, -0.013766625448542088, -0.151209787753946, 1763138902932509345, 
-0.7553173392034244, 0.007027540370532955, -0.1513445694555062, 1763138903137530375, 
-0.7553173392034244, 0.007027540370532955, -0.15120401864809552, 1763138903137530375, 
-0.7520243134230947, 0.010976752601098797, -0.1508439327886629, 1763138903348119010, 
-0.753807691642947, 0.005032158534924447, -0.1507432896179644, 1763138903538551685, 
-0.7534865184494614, -0.004874016754555417, -0.15062123490103352, 1763138903728372797, 
-0.7573070103373064, -0.01166439564786459, -0.1509734146953143, 1763138903844063611, 
-0.7568383161423446, -0.011172658976277653, -0.1511754563286075, 1763138903938487464, 
-0.7532555351526578, 0.013504917282162188, -0.15116005744215394, 1763138904038490687, 
-0.7521353669565495, 0.015676497285983897, -0.15081528121677013, 1763138904128279186, 
-0.7488120904920444, 0.014811482202044349, -0.15028019950675012, 1763138904244419957, 
-0.7131514363725235, 0.12994643528008645, -0.14760659292140782, 1763138904439015275, 
-0.6416494488471789, 0.3572088054828852, -0.1402408650474498, 1763138904528520421, 
-0.5730878341445181, 0.4668786740933513, -0.12852591462428137, 1763138904645064132, 
-0.509227612175172, 0.441406122240023, -0.11493099301112461, 1763138904738618067, 
-0.44923329052442307, 0.4128484787336502, -0.10210324912294087, 1763138904928706277, 
-0.39068819850987513, 0.39513137888432287, -0.08994327341396469, 1763138905138520485, 
-0.326672868695571, 0.4085347394295069, -0.07777295718199127, 1763138905235843556, 
-0.27289037236190244, 0.39265942049324226, -0.06601676263782323, 1763138905348585437, 
-0.20668772054586704, 0.39995049383234654, -0.05375006410688936, 1763138905445293711, 
-0.14646317327496816, 0.42142399695644767, -0.04173608441218251, 1763138905636522700, 
-0.07605611882834018, 0.4354386723917562, -0.02861380084327836, 1763138905748411442, 
-0.01687720704217255, 0.43195322077598536, -0.015959766609698726, 1763138905939525312, 
0.046026532278161225, 0.4069421703550047, -0.0031271195728234335, 1763138906037665569, 
0.1000354821702013, 0.38970896404124616, 0.008612320493745999, 1763138906150427630, 
0.14555139134208195, 0.3317495302130691, 0.019440893719362966, 1763138906338529126, 
0.18614255787615008, 0.28702358568649594, 0.028781962092562223, 1763138906437525813, 
0.21106533958459206, 0.2183798274750337, 0.03618395258685494, 1763138906528365807, 
0.22684147588675074, 0.13566306003533554, 0.04160329155649953, 1763138906627613393, 
0.24125761572155635, 0.10064092045654764, 0.045277628746193274, 1763138906738525149, 
0.2588611773903885, 0.10673233834545919, 0.048464017933246374, 1763138906837537005, 
0.25639485803609363, 0.050457474381790934, 0.05043424340986923, 1763138907048791327, 
0.24634442990127592, -0.04172249163037526, 0.05077336435518387, 1763138907138798692, 
0.2280021955314533, -0.09464220834880115, 0.04871609889792152, 1763138907238998215, 
0.20161785285184408, -0.1490885901647728, 0.045064298552304885, 1763138907329049853, 
0.20161785285184408, -0.08794780893203069, 0.04208252674900943, 1763138907329049853, 
0.1745082328991363, -0.09036539984235925, 0.03851626257352163, 1763138907540041801, 
0.1474437095200125, -0.1805804777727719, 0.034904653018066195, 1763138907638710963, 
0.1474437095200125, -0.09021507793041265, 0.031293043462610755, 1763138907638710963, 
0.1206782468960792, -0.08921820874644437, 0.027704377729073613, 1763138907848243903, 
0.09948458133327254, -0.15986376062246657, 0.024507102516624284, 1763138907938831293, 
0.09009419862748791, -0.10194682756197097, 0.020683801790455977, 1763138908038101203, 
0.09009419862748791, -0.03130127568594876, 0.018644865239216556, 1763138908038101203, 
0.06800401243858945, -0.07363395396299488, 0.016546160646237686, 1763138908248981957, 
0.04937133455976006, -0.1357428802257595, 0.013831303041722495, 1763138908338668147, 
0.0203222794552389, -0.1589391099445018, 0.00917984176357256, 1763138908437910193, 
0.008928527836701505, -0.1348093557435285, 0.005241476123446697, 1763138908548911419, 
-0.003776121324581494, -0.08032800259940132, 0.0016983123978239274, 1763138908648555352, 
-0.003776121324581494, -0.042348830537609995, 9.175234583590116e-05, 1763138908648555352, 
-0.014515968563048043, -0.0357994907948885, -0.0014712140808140687, 1763138908837567652, 
-0.029208502004010595, -0.08477460226476367, -0.003166706126109342, 1763138908929885807, 
-0.030095632807991657, -0.05193221414981205, -0.0049213402250033525, 1763138909048190234, 
-0.030095632807991657, -0.002957102679936874, -0.0059599845079995935, 1763138909048190234, 
-0.03716590392776409, -0.023567570399241438, -0.00649047796958316, 1763138909238566319, 
-0.038679548006089304, -0.02861305066032549, -0.00706273898278967, 1763138909329087583, 
-0.05097962044021087, -0.04604572170815594, -0.008455004824937617, 1763138909448636146, 
-0.04734926129240813, -0.02889904428772942, -0.009133895315913887, 1763138909538579623, 
-0.04734926129240813, 0.012101197159342473, -0.009711876201668475, 1763138909538579623, 
-0.05545789444938809, -0.0270287771899332, -0.01001042780228029, 1763138909732709535, 
-0.05545789444938809, -0.0270287771899332, -0.010551003346078953, 1763138909732709535, 
-0.056384180858095045, -0.0030876213623565185, -0.011153331317124749, 1763138909943580015, 
-0.040103186077623865, 0.05118236123921408, -0.010129684092340467, 1763138910032571002, 
-0.04907342452438557, 0.024369187779031593, -0.009704052764006965, 1763138910128131464, 
-0.028303217598584784, 0.0393332282634636, -0.00783198854670628, 1763138910249570615, 
-0.028303217598584784, 0.06923402308600261, -0.007045323981437009, 1763138910249570615, 
-0.03132926800535252, -0.010086834689225777, -0.005862380213501472, 1763138910438640169, 
-0.02749177207484932, 0.002704818412451552, -0.005808283845252441, 1763138910548606311, 
-0.025346240053311764, 0.019943426506802513, -0.005611152008900906, 1763138910628613548, 
-0.013853107024245248, 0.0454622168353469, -0.004446074610160422, 1763138910738763434, 
-0.013853107024245248, 0.03831044343022172, -0.0035368302734534837, 1763138910738763434, 
-0.013170732313254163, 0.002274582369970283, -0.002725129757449644, 1763138910929049215, 
-0.017860140738360286, -0.013356779047050127, -0.0029922653383906463, 1763138911028638132, 
-0.001993862997231255, 0.037256231053409694, -0.002201649069923047, 1763138911138759228, 
-0.00035789326488899764, 0.058340824911570964, -0.001347459800032036, 1763138911238602317, 
-0.00035789326488899764, 0.005453232441140858, -0.00018064330180061667, 1763138911238602317, 
-0.006958064877705006, -0.02200057204272003, -0.0005115900938322001, 1763138911444094695, 
-0.006958064877705006, -0.02200057204272003, -0.0009516015346866006, 1763138911444094695, 
0.0014701320655080563, 0.028093989810710207, -0.000829733179326797, 1763138911639725057, 
-0.008860031158021586, -0.006339887601055268, -0.0009565309313479024, 1763138911728884014, 
0.00046364267828524763, -0.003354964624076029, -0.0004617504276152188, 1763138911845988310, 
-0.0066796610954916735, 0.007267900208433042, -0.0010050699716818675, 1763138911938591914, 
-0.00034421017468844184, -0.0026928428432456317, -0.00043734857279299115, 1763138912035633357, 
-0.00034421017468844184, 0.021118169736010772, -0.0004912054296579039, 1763138912035633357, 
-0.01019855661602953, -0.03284782147113696, -0.0007257984643604277, 1763138912245981886, 
-0.01371441251472627, -0.04456734113345943, -0.0016171452870296162, 1763138912338609699, 
-0.01371441251472627, -0.011719519662322467, -0.002508492109698805, 1763138912338609699, 
-0.006067633050459431, 0.025489264880889467, -0.002233097205327465, 1763138912548209978, 
-0.013394127171692194, 0.0010676178101135896, -0.002211744849125193, 1763138912628774971, 
-0.01457004738373957, -0.0283413811109338, -0.0022687871737260795, 1763138912738606661, 
0.006992952712697176, 0.06795693294796457, -0.001398081456182306, 1763138912836687864, 
0.006992952712697176, 0.07187666698812249, -3.89427972230146e-05, 1763138912836687864, 
-0.014332240345229619, -0.07108397685975598, -2.308899465568448e-05, 1763138913047697824, 
-0.01059496001735627, -0.05862637576684482, -0.0011956165099925808, 1763138913140778673, 
-0.0016077140301741233, 0.04241508771685165, -0.0017689942928506674, 1763138913238594104, 
-0.0016077140301741233, 0.029957486623940488, -0.0009206925385136344, 1763138913238594104, 
-0.002027032647396232, -0.0013977287240736953, -0.0003494973805162986, 1763138913448355967, 
-0.0175040833820731, -0.052987897839663255, -0.0014092553373095636, 1763138913539598601, 
-0.0175040833820731, -0.05159016911558956, -0.002469013294102829, 1763138913539598601, 
-0.009659015128162585, 0.026150227513035047, -0.0029778121261539187, 1763138913748569133, 
-0.008432830752329257, 0.03023750876581281, -0.0023730619508376626, 1763138913798094790, 
-0.008432830752329257, 0.0040872812527777596, -0.0017683117755214065, 1763138913798094790, 
-0.0026264186006235146, 0.019354707172352475, -0.0012994720070188019, 1763138913988357821, 
-0.01167815725425525, -0.01081775500641998, -0.0015158271071472015, 1763138914088090500, 
-0.004914964129798749, -0.007628485097250781, -0.0012813026656451677, 1763138914178554929, 
-0.009514218928636908, 0.00721312775206114, -0.0017404893541793937, 1763138914339895331, 
-0.004815062085026356, 0.00033300681590797687, -0.0012829496762308008, 1763138914438925377, 
-0.004815062085026356, 0.01566385614536851, -0.0012762895399126414, 1763138914438925377, 
-0.010795350560237171, -0.019934294917369384, -0.0013616983153526589, 1763138914649982280, 
-0.0013651996567047853, 0.011499541427738569, -0.0011317074867978874, 1763138914739868814, 
-0.010177217387470683, 0.0020604439092216285, -0.0014891845069608426, 1763138914838539380, 
-0.020780582573283968, -0.06471794305526395, -0.0021548666411639623, 1763138914948887176, 
-0.022148029980492923, -0.03990270864340747, -0.0035403886627498383, 1763138915048426067, 
-0.022148029980492923, -0.00455815802402985, -0.004338442835617988, 1763138915048426067, 
-0.013523250499566597, 0.028749264936421087, -0.003854620697370163, 1763138915238710873, 
-0.013523250499566597, 0.028749264936421087, -0.003279635398641741, 1763138915238710873, 
-0.015293063084031444, -0.00589937528154949, -0.0028226376055443094, 1763138915448607577, 
-0.0014228208855212587, 0.04033476538015113, -0.002015942297941287, 1763138915538808154, 
-0.021847453726593247, -0.021847968808539342, -0.002570889179743063, 1763138915638652579, 
-0.021847453726593247, -0.06808210947023996, -0.00300784855591385, 1763138915638652579, 
-0.013426608342333557, 0.028069484614198965, -0.00380810105303467, 1763138915848934948, 
-0.015315831860449935, 0.021772072887144372, -0.0033726595952917825, 1763138915938659431, 
-0.02051867183755296, -0.02364021165073134, -0.00328407413602243, 1763138916038656259, 
-0.01330662476977762, 0.0066973569689077195, -0.0032760752311853675, 1763138916130692826, 
-0.012457381276127388, 0.026870968538085238, -0.0030855118588971977, 1763138916248745427, 
-0.012457381276127388, 0.0028308116455007712, -0.002548092488135493, 1763138916248745427, 
-0.0052041972895692235, 0.024177279955193882, -0.0020079306561216, 1763138916438647776, 
-0.005457739029760433, 0.023332140821223184, -0.0015412878396971364, 1763138916529506222, 
-0.005269529214273039, -0.00021777308234605108, -0.0010620977022401798, 1763138916649077356, 
-0.00471141251374152, 0.002487755053396379, -0.0010292453838516662, 1763138916742688537, 
-0.00471141251374152, 0.0018603890017717302, -0.0009794902827837384, 1763138916742688537, 
-0.004399420795878739, 0.0010399723928759357, -0.0009214830548907852, 1763138916943731017, 
0.007958848502709226, 0.042234203388169154, -7.679898712740219e-05, 1763138917044361273, 
-0.003105918719649048, 0.0043116735874323036, 3.0233932478762605e-05, 1763138917143730582, 
-0.003105918719649048, -0.036882557407860915, 0.00011646740422740867, 1763138917143730582, 
-0.004263423341382744, -0.0038583487391123197, -0.0006983507187120559, 1763138917329022683, 
0.0004929288649787589, 0.011996158615426022, -0.0004584275464035355, 1763138917450450620, 
0.0004929288649787589, 0.015854507354538343, -0.00021850437409501506, 1763138917450450620, 
-0.011061672877214712, -0.0385153391406449, -0.0006717210098171462, 1763138917638682064, 
-0.0038734917773577404, -0.014554735474454997, -0.0009628157193062462, 1763138917728915906, 
0.008053533226716092, 0.06371735367976934, -0.00045877542852375736, 1763138917844812144, 
-0.015731966797993713, -0.039528250068786575, -0.0007701283565756908, 1763138917938812000, 
-0.015731966797993713, -0.07928500008236601, -0.0015606933579514221, 1763138917938812000, 
0.007656842854999235, 0.07796269884330982, -0.001587139382732546, 1763138918128274259, 
0.0034445469115360616, 0.06392171236509925, -0.00030870513543056107, 1763138918244675023, 
-0.021743390005002916, -0.09800077620000718, -0.0007094666825645079, 1763138918339946221, 
-0.021743390005002916, -0.08395978972179659, -0.002669482206564651, 1763138918339946221, 
-0.011291119702752872, 0.03484090100750015, -0.0036518599808505804, 1763138918548538069, 
0.004459552098584951, 0.08734314034529289, -0.0019049971739447224, 1763138918645493467, 
0.004459552098584951, 0.052502239337792744, -0.00015813436703886462, 1763138918645493467, 
0.012427691572600819, 0.026560464913386223, 0.0014231197179847147, 1763138918840806711, 
-0.0029481597907933255, -0.024692372964594256, 0.0009292722586928296, 1763138918948444051, 
-0.003691287501527696, -0.05372993024709505, 0.00038588295201865314, 1763138919046418931, 
0.005563624974065595, 0.028372615882863068, -7.172148788369507e-05, 1763138919139819199, 
0.008491871310032817, 0.040610529371868376, 0.0006909472521713811, 1763138919236758417, 
0.008491871310032817, 0.009760821119890739, 0.0015031578396087486, 1763138919236758417, 
0.012029935091547483, 0.011793545938382222, 0.0019342451807742077, 1763138919446474119, 
